# S17 conjugacy class counts by orbit type
# Total: 1466358 classes
# 297 distinct orbit types

Orbit type                                  Count
---------------------------------------- --------
[17]                                           10
[16,1]                                       1954
[15,1,1]                                      104
[15,2]                                        232
[14,1,1,1]                                     63
[14,2,1]                                      142
[14,3]                                        231
[13,1,1,1,1]                                    9
[13,2,1,1]                                     14
[13,2,2]                                       33
[13,3,1]                                       26
[13,4]                                         80
[12,1,1,1,1,1]                                301
[12,2,1,1,1]                                  950
[12,2,2,1]                                   3414
[12,3,1,1]                                   1515
[12,3,2]                                     6563
[12,4,1]                                     8167
[12,5]                                       3549
[11,1,1,1,1,1,1]                                8
[11,2,1,1,1,1]                                 11
[11,2,2,1,1]                                   25
[11,2,2,2]                                     56
[11,3,1,1,1]                                   19
[11,3,2,1]                                     39
[11,3,3]                                       63
[11,4,1,1]                                     58
[11,4,2]                                      178
[11,5,1]                                       51
[11,6]                                        188
[10,1,1,1,1,1,1,1]                             45
[10,2,1,1,1,1,1]                              116
[10,2,2,1,1,1]                                359
[10,2,2,2,1]                                 1072
[10,3,1,1,1,1]                                161
[10,3,2,1,1]                                  595
[10,3,2,2]                                   2315
[10,3,3,1]                                    681
[10,4,1,1,1]                                  801
[10,4,2,1]                                   4329
[10,4,3]                                     5291
[10,5,1,1]                                    493
[10,5,2]                                     1851
[10,6,1]                                     2547
[10,7]                                        528
[9,1,1,1,1,1,1,1,1]                            34
[9,2,1,1,1,1,1,1]                              68
[9,2,2,1,1,1,1]                               187
[9,2,2,2,1,1]                                 501
[9,2,2,2,2]                                  1411
[9,3,1,1,1,1,1]                               143
[9,3,2,1,1,1]                                 385
[9,3,2,2,1]                                  1262
[9,3,3,1,1]                                   621
[9,3,3,2]                                    2032
[9,4,1,1,1,1]                                 465
[9,4,2,1,1]                                  1955
[9,4,2,2]                                    8658
[9,4,3,1]                                    3146
[9,4,4]                                     11557
[9,5,1,1,1]                                   274
[9,5,2,1]                                     847
[9,5,3]                                      1449
[9,6,1,1]                                    1658
[9,6,2]                                      6946
[9,7,1]                                       392
[9,8]                                        7524
[8,1,1,1,1,1,1,1,1,1]                          50
[8,2,1,1,1,1,1,1,1]                           155
[8,2,2,1,1,1,1,1]                             578
[8,2,2,2,1,1,1]                              2092
[8,2,2,2,2,1]                                8019
[8,3,1,1,1,1,1,1]                             222
[8,3,2,1,1,1,1]                              1009
[8,3,2,2,1,1]                                4823
[8,3,2,2,2]                                 22585
[8,3,3,1,1,1]                                1080
[8,3,3,2,1]                                  6341
[8,3,3,3]                                    4894
[8,4,1,1,1,1,1]                              1376
[8,4,2,1,1,1]                                9632
[8,4,2,2,1]                                 62751
[8,4,3,1,1]                                 11512
[8,4,3,2]                                  116100
[8,4,4,1]                                   80189
[8,5,1,1,1,1]                                 588
[8,5,2,1,1]                                  2855
[8,5,2,2]                                   13977
[8,5,3,1]                                    3594
[8,5,4]                                     33260
[8,6,1,1,1]                                  4241
[8,6,2,1]                                   29440
[8,6,3]                                     37985
[8,7,1,1]                                     690
[8,7,2]                                      3114
[8,8,1]                                     20082
[7,1,1,1,1,1,1,1,1,1,1]                         7
[7,2,1,1,1,1,1,1,1,1]                          10
[7,2,2,1,1,1,1,1,1]                            23
[7,2,2,2,1,1,1,1]                              52
[7,2,2,2,2,1,1]                               122
[7,2,2,2,2,2]                                 289
[7,3,1,1,1,1,1,1,1]                            19
[7,3,2,1,1,1,1,1]                              39
[7,3,2,2,1,1,1]                               107
[7,3,2,2,2,1]                                 287
[7,3,3,1,1,1,1]                                66
[7,3,3,2,1,1]                                 166
[7,3,3,2,2]                                   524
[7,3,3,3,1]                                   216
[7,4,1,1,1,1,1,1]                              55
[7,4,2,1,1,1,1]                               170
[7,4,2,2,1,1]                                 603
[7,4,2,2,2]                                  2071
[7,4,3,1,1,1]                                 262
[7,4,3,2,1]                                  1117
[7,4,3,3]                                    1269
[7,4,4,1,1]                                   843
[7,4,4,2]                                    5092
[7,5,1,1,1,1,1]                                44
[7,5,2,1,1,1]                                  98
[7,5,2,2,1]                                   277
[7,5,3,1,1]                                   155
[7,5,3,2]                                     486
[7,5,4,1]                                     633
[7,5,5]                                       298
[7,6,1,1,1,1]                                 183
[7,6,2,1,1]                                   570
[7,6,2,2]                                    1985
[7,6,3,1]                                     955
[7,6,4]                                      4608
[7,7,1,1,1]                                    50
[7,7,2,1]                                      94
[7,7,3]                                       179
[6,1,1,1,1,1,1,1,1,1,1,1]                      16
[6,2,1,1,1,1,1,1,1,1,1]                        36
[6,2,2,1,1,1,1,1,1,1]                         103
[6,2,2,2,1,1,1,1,1]                           285
[6,2,2,2,2,1,1,1]                             826
[6,2,2,2,2,2,1]                              2456
[6,3,1,1,1,1,1,1,1,1]                          63
[6,3,2,1,1,1,1,1,1]                           196
[6,3,2,2,1,1,1,1]                             680
[6,3,2,2,2,1,1]                              2289
[6,3,2,2,2,2]                                8070
[6,3,3,1,1,1,1,1]                             269
[6,3,3,2,1,1,1]                              1026
[6,3,3,2,2,1]                                4174
[6,3,3,3,1,1]                                1064
[6,3,3,3,2]                                  4910
[6,4,1,1,1,1,1,1,1]                           244
[6,4,2,1,1,1,1,1]                            1126
[6,4,2,2,1,1,1]                              5176
[6,4,2,2,2,1]                               22922
[6,4,3,1,1,1,1]                              1624
[6,4,3,2,1,1]                               10228
[6,4,3,2,2]                                 59732
[6,4,3,3,1]                                  9885
[6,4,4,1,1,1]                                6747
[6,4,4,2,1]                                 60967
[6,4,4,3]                                   74919
[6,5,1,1,1,1,1,1]                             143
[6,5,2,1,1,1,1]                               477
[6,5,2,2,1,1]                                1717
[6,5,2,2,2]                                  5959
[6,5,3,1,1,1]                                 723
[6,5,3,2,1]                                  3311
[6,5,3,3]                                    3651
[6,5,4,1,1]                                  3976
[6,5,4,2]                                   26826
[6,5,5,1]                                    1276
[6,6,1,1,1,1,1]                               473
[6,6,2,1,1,1]                                2059
[6,6,2,2,1]                                  9107
[6,6,3,1,1]                                  3248
[6,6,3,2]                                   19294
[6,6,4,1]                                   21109
[6,6,5]                                      7251
[5,1,1,1,1,1,1,1,1,1,1,1,1]                     5
[5,2,1,1,1,1,1,1,1,1,1,1]                       8
[5,2,2,1,1,1,1,1,1,1,1]                        19
[5,2,2,2,1,1,1,1,1,1]                          44
[5,2,2,2,2,1,1,1,1]                           106
[5,2,2,2,2,2,1,1]                             257
[5,2,2,2,2,2,2]                               681
[5,3,1,1,1,1,1,1,1,1,1]                        13
[5,3,2,1,1,1,1,1,1,1]                          30
[5,3,2,2,1,1,1,1,1]                            86
[5,3,2,2,2,1,1,1]                             239
[5,3,2,2,2,2,1]                               694
[5,3,3,1,1,1,1,1,1]                            45
[5,3,3,2,1,1,1,1]                             127
[5,3,3,2,2,1,1]                               421
[5,3,3,2,2,2]                                1351
[5,3,3,3,1,1,1]                               145
[5,3,3,3,2,1]                                 494
[5,3,3,3,3]                                   481
[5,4,1,1,1,1,1,1,1,1]                          44
[5,4,2,1,1,1,1,1,1]                           148
[5,4,2,2,1,1,1,1]                             542
[5,4,2,2,2,1,1]                              1905
[5,4,2,2,2,2]                                6956
[5,4,3,1,1,1,1,1]                             205
[5,4,3,2,1,1,1]                               954
[5,4,3,2,2,1]                                4390
[5,4,3,3,1,1]                                 995
[5,4,3,3,2]                                  5812
[5,4,4,1,1,1,1]                               747
[5,4,4,2,1,1]                                4753
[5,4,4,2,2]                                 28310
[5,4,4,3,1]                                  5731
[5,4,4,4]                                   25129
[5,5,1,1,1,1,1,1,1]                            28
[5,5,2,1,1,1,1,1]                              62
[5,5,2,2,1,1,1]                               176
[5,5,2,2,2,1]                                 482
[5,5,3,1,1,1,1]                                90
[5,5,3,2,1,1]                                 287
[5,5,3,2,2]                                  1011
[5,5,3,3,1]                                   356
[5,5,4,1,1,1]                                 400
[5,5,4,2,1]                                  1864
[5,5,4,3]                                    2354
[5,5,5,1,1]                                   155
[5,5,5,2]                                     469
[4,1,1,1,1,1,1,1,1,1,1,1,1,1]                   5
[4,2,1,1,1,1,1,1,1,1,1,1,1]                    11
[4,2,2,1,1,1,1,1,1,1,1,1]                      32
[4,2,2,2,1,1,1,1,1,1,1]                        90
[4,2,2,2,2,1,1,1,1,1]                         263
[4,2,2,2,2,2,1,1,1]                           789
[4,2,2,2,2,2,2,1]                            2571
[4,3,1,1,1,1,1,1,1,1,1,1]                      18
[4,3,2,1,1,1,1,1,1,1,1]                        55
[4,3,2,2,1,1,1,1,1,1]                         195
[4,3,2,2,2,1,1,1,1]                           671
[4,3,2,2,2,2,1,1]                            2413
[4,3,2,2,2,2,2]                              9086
[4,3,3,1,1,1,1,1,1,1]                          73
[4,3,3,2,1,1,1,1,1]                           277
[4,3,3,2,2,1,1,1]                            1159
[4,3,3,2,2,2,1]                              4734
[4,3,3,3,1,1,1,1]                             275
[4,3,3,3,2,1,1]                              1280
[4,3,3,3,2,2]                                6332
[4,3,3,3,3,1]                                1046
[4,4,1,1,1,1,1,1,1,1,1]                        50
[4,4,2,1,1,1,1,1,1,1]                         207
[4,4,2,2,1,1,1,1,1]                           932
[4,4,2,2,2,1,1,1]                            4039
[4,4,2,2,2,2,1]                             18376
[4,4,3,1,1,1,1,1,1]                           279
[4,4,3,2,1,1,1,1]                            1669
[4,4,3,2,2,1,1]                              9732
[4,4,3,2,2,2]                               55009
[4,4,3,3,1,1,1]                              1581
[4,4,3,3,2,1]                               12296
[4,4,3,3,3]                                  8310
[4,4,4,1,1,1,1,1]                             894
[4,4,4,2,1,1,1]                              7463
[4,4,4,2,2,1]                               57226
[4,4,4,3,1,1]                                8680
[4,4,4,3,2]                                106779
[4,4,4,4,1]                                 38339
[3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]                 2
[3,2,1,1,1,1,1,1,1,1,1,1,1,1]                   3
[3,2,2,1,1,1,1,1,1,1,1,1,1]                     7
[3,2,2,2,1,1,1,1,1,1,1,1]                      16
[3,2,2,2,2,1,1,1,1,1,1]                        38
[3,2,2,2,2,2,1,1,1,1]                          91
[3,2,2,2,2,2,2,1,1]                           239
[3,2,2,2,2,2,2,2]                             653
[3,3,1,1,1,1,1,1,1,1,1,1,1]                     6
[3,3,2,1,1,1,1,1,1,1,1,1]                      11
[3,3,2,2,1,1,1,1,1,1,1]                        29
[3,3,2,2,2,1,1,1,1,1]                          74
[3,3,2,2,2,2,1,1,1]                           200
[3,3,2,2,2,2,2,1]                             553
[3,3,3,1,1,1,1,1,1,1,1]                        17
[3,3,3,2,1,1,1,1,1,1]                          37
[3,3,3,2,2,1,1,1,1]                           109
[3,3,3,2,2,2,1,1]                             316
[3,3,3,2,2,2,2]                               973
[3,3,3,3,1,1,1,1,1]                            50
[3,3,3,3,2,1,1,1]                             127
[3,3,3,3,2,2,1]                               419
[3,3,3,3,3,1,1]                               142
[3,3,3,3,3,2]                                 424
[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]               1
[2,2,1,1,1,1,1,1,1,1,1,1,1,1,1]                 2
[2,2,2,1,1,1,1,1,1,1,1,1,1,1]                   4
[2,2,2,2,1,1,1,1,1,1,1,1,1]                     8
[2,2,2,2,2,1,1,1,1,1,1,1]                      16
[2,2,2,2,2,2,1,1,1,1,1]                        36
[2,2,2,2,2,2,2,1,1,1]                          80
[2,2,2,2,2,2,2,2,1]                           194
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]             1
---------------------------------------- --------
TOTAL                                     1466358
